Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Drew Millas,WSH,C,27,20,57,7,14,1,0,1,1,4,0,5,16,0,0,0,.246,.306,.316,.622
Jasson Dominguez,NYY,OF,22,18,56,8,10,1,0,2,4,5,0,11,19,0,0,0,.179,.313,.304,.617
Esteury Ruiz,OAK,OF,26,29,55,10,11,2,1,2,8,5,4,4,20,2,2,2,.200,.270,.382,.652
Jason Heyward,HOU,OF,35,24,55,8,12,2,0,4,9,1,0,5,17,0,0,0,.218,.283,.473,.756
Jacob Hurtubise,CIN,OF,27,29,54,7,10,1,1,0,4,2,0,6,18,4,1,3,.185,.297,.241,.538
Zack Short,ATL,2B,29,30,54,9,8,3,0,0,5,2,0,12,16,2,0,1,.148,.313,.204,.517
Yuli Gurriel,KC,1B,40,18,54,7,13,3,0,0,6,1,0,9,15,0,2,0,.241,.338,.296,.634
Jared Walsh,TEX,1B,31,17,53,9,12,2,0,1,7,0,0,7,21,0,0,0,.226,.317,.321,.638
Eguy Rosario,SD,3B,25,30,53,5,13,6,0,3,6,0,0,2,20,1,0,1,.245,.286,.528,.814
David Hensley,MIA,DH,28,23,52,9,11,1,0,1,4,1,0,6,17,0,0,0,.212,.293,.288,.581
Chadwick Tromp,ATL,C,29,19,52,3,13,6,0,0,6,0,0,1,17,0,1,0,.250,.259,.365,.624
Drew Romo,COL,C,23,16,51,4,9,3,0,0,6,0,1,2,18,0,0,0,.176,.208,.235,.443
Kyren Paris,LAA,SS,23,21,51,4,6,2,0,1,5,1,0,7,17,0,0,0,.118,.224,.216,.440
Rafael Marchan,PHI,C,26,17,51,8,15,4,0,3,6,0,0,3,8,1,0,1,.294,.345,.549,.894
Cole Tucker,LAA,OF,28,25,50,3,9,4,1,0,3,3,1,6,17,0,1,0,.180,.263,.300,.563
Avisail Garcia,MIA,OF,33,18,50,4,12,1,0,2,2,0,0,1,13,0,0,0,.240,.255,.380,.635
Mason McCoy,SD,SS,29,19,49,7,10,2,0,0,3,1,0,5,19,3,0,0,.204,.278,.245,.523
