Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Andres Munoz,SEA,26,60,0,0,0,59.1,31,14,77,26,6,3,7,22,5,6,2.12,0.96
Camilo Doval,SF,27,62,0,0,0,59.0,54,32,78,39,5,5,3,23,5,5,4.88,1.58
Joel Payamps,MIL,30,68,0,0,0,59.0,39,20,59,18,7,3,7,6,3,21,3.05,0.97
JoJo Romero,STL,28,65,0,0,0,59.0,52,22,51,16,8,7,3,1,8,30,3.36,1.15
Drew Smyly,CHC,35,50,0,0,0,58.2,57,25,56,25,10,4,8,0,3,10,3.84,1.40
Chris Stratton,KC,34,57,0,0,0,58.1,53,36,44,33,5,4,3,4,3,5,5.55,1.47
Jorge Alcala,MIN,29,54,0,0,0,58.1,40,21,58,20,8,4,3,0,1,15,3.24,1.03
David Bednar,PIT,30,62,0,0,0,57.2,54,37,58,28,9,3,8,23,7,3,5.77,1.42
Nick Sandlin,CLE,28,68,1,0,0,57.2,46,24,68,27,12,8,0,1,3,8,3.75,1.27
Reed Garrett,NYM,32,53,0,0,0,57.1,50,24,83,30,6,8,5,4,5,14,3.77,1.40
Alex Faedo,DET,29,37,6,0,0,57.1,49,23,55,28,9,5,3,0,3,7,3.61,1.34
Frankie Montas,MIL,31,11,11,0,0,57.1,47,29,70,25,10,3,3,0,0,0,4.55,1.26
Max Meyer,MIA,25,11,11,0,0,57.0,62,36,46,19,14,3,5,0,0,0,5.68,1.42
James McArthur,KC,28,57,0,0,0,56.2,68,31,49,14,8,5,7,18,7,2,4.92,1.45
Zack Kelly,BOS,30,49,3,0,0,56.2,44,25,61,27,10,6,3,0,1,8,3.97,1.25
Ryan Pressly,HOU,36,59,0,0,0,56.2,58,22,58,18,4,2,3,4,8,25,3.49,1.34
T.J. McFarland,OAK,35,79,0,0,0,56.2,53,24,39,17,4,2,4,0,2,19,3.81,1.24
Jacob Webb,BAL,31,60,0,0,0,56.2,40,19,58,27,4,2,5,2,1,14,3.02,1.18
Pierce Johnson,ATL,33,58,0,0,0,56.1,48,23,67,25,6,6,6,2,4,12,3.67,1.30
Alexis Diaz,CIN,28,60,0,0,0,56.1,42,25,55,31,6,2,5,28,4,0,3.99,1.30
Bobby Miller,LAD,25,13,13,0,0,56.0,69,53,52,30,17,2,4,0,0,0,8.52,1.77
Adam Ottavino,NYM,39,60,0,0,0,56.0,49,27,70,23,6,2,2,1,2,15,4.34,1.29
Michael Tonkin,NYY,35,39,0,0,0,56.0,44,21,57,21,5,3,2,2,2,1,3.38,1.16
Shelby Miller,DET,34,51,0,0,0,55.2,41,28,49,13,9,6,8,2,7,5,4.53,0.97
Erick Fedde,STL,32,10,10,0,0,55.2,49,23,46,18,6,2,5,0,0,0,3.72,1.20
Jack Flaherty,LAD,29,10,10,0,0,55.1,52,22,61,19,9,6,2,0,0,0,3.58,1.28
Joey Wentz,DET,27,38,0,0,0,55.1,60,33,60,27,8,0,2,1,0,2,5.37,1.57
Zach Eflin,BAL,30,9,9,0,0,55.1,51,16,47,11,8,5,2,0,0,0,2.60,1.12
Justin Slaten,BOS,27,44,0,0,0,55.1,47,18,58,9,4,6,2,2,3,13,2.93,1.01
Aaron Bummer,ATL,31,56,0,0,0,55.1,61,22,69,18,2,4,3,0,3,2,3.58,1.43
Keaton Winn,SF,27,12,12,0,0,55.1,56,44,48,20,9,3,8,0,0,0,7.16,1.37
Ben Brown,CHC,25,15,8,0,0,55.1,41,22,64,19,5,1,3,0,0,1,3.58,1.08
Scott Barlow,CLE,32,63,0,0,0,55.0,44,26,68,31,6,3,3,2,1,19,4.25,1.36
Evan Phillips,LAD,30,61,0,0,0,54.2,48,22,63,17,6,5,1,18,4,9,3.62,1.19
Kyle Nicolas,PIT,26,51,0,0,0,54.2,51,24,55,31,4,2,2,0,0,7,3.95,1.50
Kenley Jansen,BOS,37,54,0,0,0,54.2,38,20,62,20,4,4,2,27,4,0,3.29,1.06
Jhoan Duran,MIN,27,58,0,0,0,54.1,48,22,66,15,4,6,9,23,2,7,3.64,1.16
Spencer Turnbull,PHI,32,17,7,0,0,54.1,37,16,58,20,6,3,0,0,0,1,2.65,1.05
Edwin Diaz,NYM,30,54,0,0,0,53.2,36,21,84,20,7,6,4,20,7,2,3.52,1.04
Cionel Perez,BAL,28,62,0,0,0,53.2,47,27,46,28,0,2,0,2,1,23,4.53,1.40
Angel Zerpa,KC,25,60,0,0,0,53.2,59,23,49,19,6,2,0,0,1,12,3.86,1.45
Calvin Faucher,MIA,29,53,0,0,0,53.2,49,19,63,26,0,2,3,6,2,11,3.19,1.40
Justin Anderson,CWS,32,56,0,0,0,53.1,48,26,57,32,5,1,2,1,5,6,4.39,1.50
Chad Kuhl,CWS,32,31,1,0,0,53.1,56,30,54,25,5,0,2,1,2,1,5.06,1.52
Chad Green,TOR,33,53,0,0,0,53.1,41,19,46,14,8,4,6,17,3,7,3.21,1.03
Anthony Bender,MIA,30,59,0,0,0,53.0,50,24,59,18,3,5,2,1,4,15,4.08,1.28
Seth Martinez,HOU,30,44,0,0,0,52.2,49,21,36,18,7,3,2,1,0,3,3.59,1.27
Randy Rodriguez,SF,25,35,1,0,0,52.1,47,25,53,18,4,3,2,0,1,5,4.30,1.24
Craig Kimbrel,BAL,36,57,0,0,0,52.1,40,31,73,31,7,7,5,23,6,4,5.33,1.36
Jose Suarez,LAA,27,22,3,0,0,52.1,57,35,56,27,7,1,2,1,0,0,6.02,1.61
Dylan Floro,WSH,34,51,0,0,0,52.1,42,12,40,13,1,3,3,0,1,9,2.06,1.05
Trevor Richards,TOR,31,45,2,0,0,52.1,36,27,49,24,7,2,1,0,3,7,4.64,1.15
Roansy Contreras,LAA,25,37,3,0,0,52.0,44,25,40,23,8,1,4,2,1,1,4.33,1.29
Martin Perez,SD,33,10,10,0,0,52.0,46,20,44,17,9,3,1,0,0,0,3.46,1.21
Chase Anderson,BOS,37,27,1,0,0,52.0,46,28,35,19,10,0,2,3,0,0,4.85,1.25
John Schreiber,KC,31,59,0,0,0,51.2,48,21,46,20,1,4,3,2,3,24,3.66,1.32
Colin Holderman,PIT,29,55,0,0,0,51.1,42,18,56,25,6,3,6,0,5,21,3.16,1.31
Elvis Peguero,MIL,27,52,0,0,0,51.1,52,17,47,27,4,7,4,2,4,11,2.98,1.54
Tyler Ferguson,OAK,31,48,0,0,0,51.1,32,21,62,24,4,4,2,2,2,12,3.68,1.09
Brennan Bernardino,BOS,33,57,3,0,0,51.0,50,23,56,22,6,4,3,0,2,14,4.06,1.41
Jose Ruiz,PHI,30,52,0,0,0,51.0,51,21,52,17,8,5,1,1,0,0,3.71,1.33
Paul Blackburn,OAK,31,9,9,0,0,51.0,45,25,38,14,8,4,2,0,0,0,4.41,1.16
Tanner Rainey,WSH,32,50,0,0,0,51.0,47,27,44,29,8,0,0,0,0,0,4.76,1.49
Michael Grove,LAD,28,39,2,0,0,51.0,46,29,54,16,6,4,4,0,0,7,5.12,1.22
Carmen Mlodzinski,PIT,26,40,4,0,0,50.2,41,19,46,19,3,5,5,0,2,5,3.38,1.18
Landen Roupp,SF,26,23,4,0,0,50.1,43,20,47,26,2,1,2,0,0,1,3.58,1.37
Tyson Miller,CHC,29,49,0,0,0,50.1,31,12,42,10,5,5,1,1,1,12,2.15,0.81
Eduardo Rodriguez,ARI,31,10,10,0,0,50.0,56,28,47,19,8,3,4,0,0,0,5.04,1.50
Davis Martin,CWS,28,11,10,0,0,50.0,50,24,47,23,5,0,5,0,0,0,4.32,1.46
Louis Varland,MIN,27,16,7,0,0,49.2,68,42,49,16,12,0,6,0,0,0,7.61,1.69
Andrew Nardi,MIA,26,59,0,0,0,49.2,44,28,70,18,7,3,2,0,6,15,5.07,1.25
Bryce Elder,ATL,25,10,10,0,0,49.2,64,36,46,17,8,2,5,0,0,0,6.52,1.63
Anthony Banda,LAD,31,48,2,0,0,49.2,44,17,50,18,5,3,2,2,2,8,3.08,1.25
Kyle Muller,OAK,27,21,0,0,0,49.1,48,22,36,10,6,0,1,0,0,0,4.01,1.18
Jalen Beeks,COL,31,45,0,0,0,49.1,49,26,38,18,6,6,4,9,7,5,4.74,1.36
John Brebbia,CWS,34,54,0,0,0,48.2,52,34,58,17,9,0,6,2,3,13,6.29,1.42
Kyle Leahy,STL,27,33,0,0,0,48.2,40,22,33,10,4,1,1,1,0,3,4.07,1.03
Spencer Bivens,SF,30,27,2,0,0,48.2,47,17,37,11,9,3,1,1,0,2,3.14,1.19
Zach Pop,TOR,28,58,0,0,0,48.1,45,30,33,19,9,2,4,1,3,10,5.59,1.32
Matt Moore,LAA,35,51,0,0,0,48.1,39,27,41,26,11,5,3,1,1,11,5.03,1.34
Tanner Banks,CWS,33,41,1,0,0,48.0,47,22,55,15,5,2,2,2,4,7,4.13,1.29
Joe Boyle,OAK,25,13,10,0,0,47.2,42,34,56,40,4,3,6,0,0,1,6.42,1.72
Christian Scott,NYM,25,9,9,0,0,47.1,45,24,39,12,8,0,3,0,0,0,4.56,1.20
Caleb Thielbar,MIN,38,59,0,0,0,47.1,50,28,53,24,6,2,4,3,0,9,5.32,1.56
Jason Adam,TB,33,47,0,0,0,47.0,26,13,50,16,4,4,2,4,3,19,2.49,0.89
Justin Wilson,CIN,37,60,0,0,0,46.2,55,29,51,13,10,1,5,2,2,10,5.59,1.46
Blake Treinen,LAD,36,50,0,0,0,46.2,33,10,56,11,5,7,3,1,4,16,1.93,0.94
Shawn Armstrong,TB,34,38,7,0,0,46.2,56,28,50,19,5,2,2,1,1,3,5.40,1.61
Stephen Kolek,SD,27,42,0,0,0,46.2,59,27,39,12,4,3,0,0,1,2,5.21,1.52
Trevor Megill,MIL,31,48,0,0,0,46.1,33,14,50,14,4,1,3,21,3,6,2.72,1.01
Jordan Wicks,CHC,25,11,10,0,0,46.0,55,28,42,20,9,2,4,0,0,0,5.48,1.63
Tanner Scott,MIA,30,44,0,0,0,45.2,19,6,53,27,2,6,5,18,2,1,1.18,1.01
Brendon Little,TOR,28,49,0,0,0,45.2,41,19,36,19,7,1,2,1,3,8,3.74,1.31
Pete Fairbanks,TB,31,46,0,0,0,45.1,36,18,44,17,4,3,3,23,4,1,3.57,1.17
Brant Hurter,DET,26,10,1,0,0,45.1,34,13,38,6,4,6,1,0,0,0,2.58,0.88
Nick Mears,COL,28,41,0,0,0,45.1,47,28,57,21,2,1,4,0,2,8,5.56,1.50
Shawn Dubin,HOU,29,31,2,0,0,45.1,45,21,49,26,3,1,1,2,0,0,4.17,1.57
Hunter Harvey,WSH,30,43,0,0,0,45.0,43,21,50,12,4,2,4,0,2,26,4.20,1.22
Quinn Priester,PIT,24,10,6,0,0,44.2,52,25,31,13,7,2,6,0,0,0,5.04,1.46
Dennis Santana,PIT,28,39,0,0,0,44.1,30,12,50,11,2,1,1,1,0,11,2.44,0.92
Steven Matz,STL,33,12,7,0,0,44.1,49,25,33,15,7,1,2,0,0,0,5.08,1.44
Chris Martin,BOS,38,45,0,0,0,44.1,47,17,50,3,5,3,1,2,4,15,3.45,1.13
Drew Thorpe,CWS,24,9,9,0,0,44.1,35,27,25,21,8,3,3,0,0,0,5.48,1.26
Hector Neris,CHC,35,46,0,0,0,44.0,41,19,46,26,4,8,4,17,5,3,3.89,1.52
A.J. Puk,MIA,29,32,4,0,0,44.0,36,21,45,23,3,4,8,1,1,8,4.30,1.34
Tim Hill,NYY,35,35,0,0,0,44.0,36,10,18,9,2,3,0,0,0,3,2.05,1.02
Luis Garcia,LAA,38,45,0,0,0,43.2,37,18,40,14,4,5,1,4,2,12,3.71,1.17
Michael Kopech,CWS,28,43,0,0,0,43.2,35,23,59,24,8,2,8,9,5,1,4.74,1.35
Jhony Brito,SD,27,26,0,0,0,43.2,49,20,29,10,4,1,2,0,3,0,4.12,1.35
Jacob Latz,TEX,28,46,0,0,0,43.2,39,18,40,27,6,2,3,0,3,9,3.71,1.51
Max Scherzer,TEX,40,9,9,0,0,43.1,40,19,40,10,7,2,4,0,0,0,3.95,1.15
Daniel Lynch,KC,28,16,3,0,0,43.1,29,16,39,14,6,2,0,1,0,0,3.32,0.99
DL Hall,MIL,26,13,7,0,0,43.0,48,24,44,21,6,1,2,0,0,1,5.02,1.60
Porter Hodge,CHC,24,39,0,0,0,43.0,19,9,52,19,2,3,1,9,3,9,1.88,0.88
Cam Booser,BOS,32,43,0,0,0,42.2,41,16,43,16,5,2,3,1,2,5,3.38,1.34
Sam Long,KC,29,43,0,0,0,42.2,34,15,44,17,5,3,3,1,1,7,3.16,1.20
Tommy Kahnle,NYY,35,50,0,0,0,42.2,30,10,46,19,5,0,2,1,0,16,2.11,1.15
Adam Oller,MIA,30,8,8,0,0,42.1,43,25,36,22,7,2,4,0,0,0,5.31,1.54
Eli Morgan,CLE,28,32,0,0,0,42.0,30,9,34,11,4,3,0,0,0,1,1.93,0.98
Edwin Uceta,TB,27,30,0,0,0,41.2,26,7,57,8,2,2,0,5,0,7,1.51,0.82
Jordan Weems,WSH,32,41,0,0,0,41.2,49,31,35,24,7,1,1,0,2,4,6.70,1.75
Collin Snider,SEA,29,42,0,0,0,41.2,36,9,47,13,5,3,4,0,2,9,1.94,1.18
Will Smith,KC,35,45,0,0,0,41.1,45,30,29,15,7,0,4,1,1,8,6.53,1.45
Austin Adams,OAK,33,56,0,0,0,41.1,38,18,53,23,4,1,2,0,4,22,3.92,1.48
Jakob Junis,CIN,32,14,5,0,0,41.0,29,13,32,3,4,0,0,0,0,0,2.85,0.78
Jonathan Hernandez,TEX,28,26,1,0,0,41.0,39,23,36,26,6,3,1,0,2,0,5.05,1.59
Enyel De Los Santos,SD,29,44,0,0,0,40.1,39,20,48,13,11,1,2,1,2,7,4.46,1.29
Nate Pearson,TOR,28,41,0,0,0,40.0,45,25,51,17,8,0,1,2,1,7,5.63,1.55
Luis Medina,OAK,25,8,8,0,0,40.0,43,23,32,20,4,2,4,0,0,0,5.18,1.58
Jake Bird,COL,29,35,0,0,0,40.0,43,20,31,25,5,2,2,1,2,4,4.50,1.70
Paul Sewald,ARI,34,42,0,0,0,39.2,35,19,43,10,6,1,2,16,4,1,4.31,1.13
Matthew Boyd,CLE,34,8,8,0,0,39.2,32,12,46,13,4,2,2,0,0,0,2.72,1.13
Alex Wood,OAK,34,9,9,0,0,39.1,51,23,33,19,6,1,3,0,0,0,5.26,1.78
Kyle Bradish,BAL,28,8,8,0,0,39.1,27,12,53,15,2,2,0,0,0,0,2.75,1.07
Erik Swanson,TOR,31,45,0,0,0,39.1,36,22,37,14,11,2,2,0,1,9,5.03,1.27
Ryne Stanek,SEA,33,46,0,0,0,39.0,35,19,44,17,5,6,3,7,4,15,4.38,1.33
Scott Alexander,OAK,35,45,0,0,0,38.2,31,11,31,15,3,1,3,0,3,10,2.56,1.19
Joey Cantillo,CLE,25,9,8,0,0,38.2,35,21,44,15,6,2,4,0,0,0,4.89,1.29
Tayler Saucedo,SEA,31,53,0,0,0,38.2,35,15,38,18,3,2,0,3,2,7,3.49,1.37
Tommy Henry,ARI,27,9,7,0,0,38.1,49,30,30,18,9,2,3,0,0,0,7.04,1.75
Wandy Peralta,SD,33,46,0,0,0,38.1,33,17,22,13,6,3,2,0,1,11,3.99,1.20
Rafael Montero,HOU,34,41,0,0,0,38.1,35,20,23,19,8,1,2,0,3,10,4.70,1.41
Emilio Pagan,CIN,33,38,1,0,0,38.0,40,19,44,11,6,4,5,1,1,8,4.50,1.34
Jake Cousins,NYY,30,37,0,0,0,38.0,20,10,53,20,5,2,1,1,0,8,2.37,1.05
Manuel Rodriguez,TB,28,40,0,0,0,37.2,29,9,34,11,3,3,4,2,1,10,2.15,1.06
Danny Young,NYM,30,42,0,0,0,37.2,29,19,48,18,3,4,1,0,0,8,4.54,1.25
Zebby Matthews,MIN,24,9,9,0,0,37.2,51,28,43,11,11,1,4,0,0,0,6.69,1.65
Hunter Stratton,PIT,28,36,0,0,0,37.2,37,15,33,7,3,2,1,1,2,5,3.58,1.17
Ian Hamilton,NYY,29,35,0,0,0,37.2,37,16,41,14,2,0,1,1,1,11,3.82,1.35
Sam Moll,CIN,33,48,0,0,0,37.2,27,14,38,14,3,3,2,0,0,11,3.35,1.09
Colin Poche,TB,31,43,0,0,0,37.1,30,16,33,13,7,1,2,2,2,20,3.86,1.15
Andrew Chafin,DET,34,41,0,0,0,37.0,35,13,50,16,2,3,2,1,3,8,3.16,1.38
Braxton Garrett,MIA,27,7,7,1,1,37.0,40,22,34,4,5,2,2,0,0,0,5.35,1.19
Lucas Erceg,OAK,29,38,0,0,0,36.2,31,15,41,13,3,2,3,3,3,12,3.68,1.20
Tyler Phillips,PHI,27,8,7,1,1,36.2,45,28,28,7,9,4,1,0,0,0,6.87,1.42
Mark Leiter,CHC,33,39,0,0,0,36.1,27,17,53,13,2,2,4,0,2,13,4.21,1.10
Justin Wrobleski,LAD,24,8,6,0,0,36.1,34,23,26,16,9,1,2,1,0,0,5.70,1.38
Mason Black,SF,25,9,8,0,0,36.1,46,26,31,15,7,1,5,0,0,0,6.44,1.68
Darren McCaughan,MIA,28,10,5,0,0,36.0,44,23,27,9,7,0,0,2,0,0,5.75,1.47
Seranthony Dominguez,PHI,30,38,0,0,0,36.0,32,19,40,12,6,3,2,1,1,4,4.75,1.22
Sixto Sanchez,MIA,26,14,7,0,0,35.2,43,24,17,14,3,0,3,0,1,1,6.06,1.60
Nick Anderson,KC,34,37,0,0,0,35.2,35,16,29,15,6,3,1,1,0,2,4.04,1.40
Jack Leiter,TEX,24,9,6,0,0,35.2,44,35,31,17,7,0,3,0,0,0,8.83,1.71
Nick Nastrini,CWS,25,9,8,0,0,35.2,32,28,26,36,7,0,7,0,0,0,7.07,1.91
Phil Maton,TB,31,40,0,0,0,35.1,29,18,30,18,6,1,2,2,2,9,4.58,1.33
Gregory Soto,PHI,30,43,0,0,0,35.1,36,16,44,20,2,2,4,2,1,7,4.08,1.58
Steven Okert,MIN,33,44,1,0,0,35.1,37,20,33,16,6,3,2,1,6,7,5.09,1.50
Lucas Sims,CIN,30,43,0,0,0,35.1,30,14,40,20,6,1,4,1,2,12,3.57,1.42
Luke Jackson,SF,33,36,0,0,0,35.0,35,21,33,15,5,4,2,0,3,2,5.40,1.43
Dedniel Nunez,NYM,28,25,0,0,0,35.0,24,9,48,8,3,2,0,1,1,9,2.31,0.91
Steven Wilson,CWS,30,40,0,0,0,34.2,29,22,34,26,8,1,6,0,1,9,5.71,1.59
Ben Joyce,LAA,24,31,1,0,0,34.2,26,8,33,14,1,2,0,4,0,8,2.08,1.15
Kody Funderburk,MIN,28,27,0,0,0,34.2,41,25,32,15,4,1,0,1,0,5,6.49,1.62
Cristian Javier,HOU,27,7,7,0,0,34.2,30,15,27,19,4,3,1,0,0,0,3.89,1.41
Brent Honeywell,LAD,29,18,1,0,0,34.1,29,10,17,9,3,1,1,1,1,1,2.62,1.11
A.J. Minter,ATL,31,39,0,0,0,34.1,24,10,35,11,6,5,4,1,3,9,2.62,1.02
Chris Roycroft,STL,27,27,0,0,0,34.1,31,16,33,17,2,1,2,0,1,1,4.19,1.40
Tanner Gordon,COL,27,8,8,0,0,34.1,53,33,26,6,10,0,6,0,0,0,8.65,1.72
Michel Otanez,OAK,27,36,0,0,0,34.0,27,13,55,20,2,1,0,1,2,6,3.44,1.38
Carlos Estevez,LAA,32,34,0,0,0,34.0,20,9,32,5,3,1,3,20,3,0,2.38,0.74
J.T. Ginn,OAK,25,8,6,0,0,34.0,36,16,29,9,4,1,1,0,0,0,4.24,1.32
Marco Gonzales,PIT,33,7,7,0,0,33.2,43,17,23,11,5,1,1,0,0,0,4.54,1.60
Adam Mazur,SD,23,8,8,0,0,33.2,40,28,22,21,6,1,3,0,0,0,7.49,1.81
Dillon Tate,BAL,30,29,0,0,0,33.1,38,17,23,9,2,2,1,1,1,2,4.59,1.41
Caleb Ferguson,NYY,28,42,0,0,0,33.1,34,19,41,16,5,1,3,1,1,10,5.13,1.50
Jeffrey Springs,TB,32,7,7,0,0,33.0,34,12,37,11,5,2,2,0,0,0,3.27,1.36
Ryan Burr,TOR,30,34,4,0,0,32.2,29,15,47,12,4,0,2,0,1,3,4.13,1.26
Scott McGough,ARI,35,26,2,0,0,32.2,34,27,25,21,6,1,3,0,2,1,7.44,1.68
Jake Diekman,NYM,38,43,0,0,0,32.0,23,20,40,24,7,2,3,4,3,8,5.63,1.47
Joe Kelly,LAD,36,35,0,0,0,32.0,31,17,35,16,4,1,1,0,2,13,4.78,1.47
Jose Ferrer,WSH,25,31,0,0,0,32.0,27,12,25,6,1,1,0,1,1,6,3.38,1.03
Julian Aguiar,CIN,23,7,7,0,0,31.2,30,22,19,12,8,2,1,0,0,0,6.25,1.33
Kyle Tyler,MIA,28,8,7,0,0,31.2,37,19,25,18,4,0,2,0,0,0,5.40,1.74
Angel Chivilli,COL,22,30,0,0,0,31.2,31,16,28,10,7,2,3,1,2,7,4.55,1.29
Jordan Leasure,CWS,26,33,0,0,0,31.1,32,22,26,18,6,0,2,2,4,9,6.32,1.60
Josh Fleming,PIT,28,25,3,0,0,31.1,34,14,17,14,3,1,1,1,0,1,4.02,1.53
Michael Kelly,OAK,32,28,0,0,0,31.1,27,9,22,10,2,3,2,0,0,5,2.59,1.18
Ryan Yarbrough,TOR,33,12,0,0,0,31.1,18,7,26,7,2,1,0,0,1,0,2.01,0.80
Robbie Ray,SF,33,7,7,0,0,30.2,20,16,43,15,6,3,2,0,0,0,4.70,1.14
Huascar Brazoban,MIA,35,20,0,0,0,30.2,20,10,34,11,1,1,2,0,3,2,2.93,1.01
Rhett Lowder,CIN,22,6,6,0,0,30.2,25,4,22,14,0,2,2,0,0,0,1.17,1.27
Kris Bubic,KC,27,27,0,0,0,30.1,26,9,39,5,2,1,1,1,3,7,2.67,1.02
Keegan Thompson,CHC,29,24,0,0,0,30.1,19,9,36,18,3,2,1,2,0,2,2.67,1.22
Davis Daniel,LAA,27,6,6,0,0,30.1,39,21,28,6,5,1,4,0,0,0,6.23,1.48
Yonny Chirinos,MIA,31,6,6,0,0,30.0,43,21,25,13,7,0,2,0,0,0,6.30,1.87
Carlos Hernandez,KC,27,27,0,0,0,30.0,24,11,27,16,1,0,1,0,1,1,3.30,1.33
Yimi Garcia,TOR,34,29,0,0,0,30.0,16,9,42,8,3,3,0,5,1,10,2.70,0.80
Tony Santillan,CIN,27,29,1,0,0,30.0,21,10,46,9,4,3,3,0,2,4,3.00,1.00
Clayton Kershaw,LAD,36,7,7,0,0,30.0,36,15,24,9,2,2,2,0,0,0,4.50,1.50
Bryan Hoeing,MIA,28,16,2,0,0,30.0,29,9,25,9,2,1,2,0,0,2,2.70,1.27
Bradley Blalock,COL,24,6,6,0,0,29.2,35,20,20,19,4,1,3,0,0,0,6.07,1.82
Danny Coulombe,BAL,35,33,0,0,0,29.2,15,7,32,5,3,1,0,1,1,13,2.12,0.67
Burch Smith,MIA,34,25,0,0,0,29.2,39,14,23,9,1,2,0,0,0,1,4.25,1.62
Brenan Hanifee,DET,26,21,3,0,0,29.1,27,6,23,6,2,1,1,0,1,7,1.84,1.13
George Soriano,MIA,25,22,0,0,0,29.1,27,22,29,13,7,1,1,1,3,2,6.75,1.36
Yohan Ramirez,LAD,29,27,0,0,0,29.1,32,18,27,11,3,0,4,1,1,1,5.52,1.47
Phil Maton,NYM,31,31,0,0,0,28.2,18,8,30,6,1,2,1,1,0,9,2.51,0.84
Drew Rasmussen,TB,29,16,4,0,0,28.2,25,9,35,6,0,0,2,1,0,3,2.83,1.08
Richard Lovelady,TB,29,28,0,0,0,28.2,25,12,20,9,2,3,5,2,1,3,3.77,1.19
Michael Lorenzen,KC,33,7,6,0,0,28.2,19,5,22,12,2,2,0,0,0,0,1.57,1.08
Aaron Ashby,MIL,26,14,2,0,0,28.1,20,9,33,10,2,1,2,0,0,3,2.86,1.06
Yilber Diaz,ARI,24,7,4,0,0,28.1,27,12,19,12,3,1,1,0,0,0,3.81,1.38
Robert Gasser,MIL,25,5,5,0,0,28.0,28,8,16,1,2,2,0,0,0,0,2.57,1.04
Ryan Brasier,LAD,37,29,4,0,0,28.0,22,11,25,5,3,1,0,0,2,6,3.54,0.96
Logan Allen,ARI,27,12,0,0,0,28.0,32,17,21,10,3,0,1,1,0,1,5.46,1.50
Matt Manning,DET,27,5,5,0,0,27.2,31,15,23,12,3,0,1,0,0,0,4.88,1.55
Eduard Bazardo,SEA,29,23,0,0,0,27.2,20,15,33,9,2,2,0,0,0,0,4.88,1.05
Eduardo Salazar,WSH,26,25,0,0,0,27.1,31,9,24,12,2,0,1,0,0,3,2.96,1.57
Bryan Sammons,DET,29,6,0,0,0,27.1,16,11,18,9,6,1,1,0,0,0,3.62,0.91
A.J. Puk,ARI,29,30,0,0,0,27.1,15,4,43,5,2,0,1,2,2,7,1.32,0.73
Dennis Santana,NYY,28,23,0,0,0,27.1,27,19,19,10,2,2,0,2,0,1,6.26,1.35
Kolby Allard,PHI,27,7,4,0,0,27.0,34,15,23,8,5,2,0,0,0,0,5.00,1.56
Jake Woodford,PIT,28,7,5,0,0,26.2,33,21,19,4,4,0,4,0,0,0,7.09,1.39
Jesus Tinoco,MIA,29,21,0,0,0,26.2,13,6,30,5,1,1,0,3,1,5,2.03,0.68
Aaron Brooks,OAK,34,5,4,0,0,26.2,33,15,12,8,4,0,2,0,0,0,5.06,1.54
Chris Devenski,TB,34,19,0,0,0,26.2,28,20,24,14,9,2,1,0,2,0,6.75,1.58
Jason Adam,SD,33,27,0,0,0,26.2,14,3,31,7,1,3,0,0,1,12,1.01,0.79
Burch Smith,BAL,34,25,0,0,0,26.2,25,17,23,3,5,2,1,0,1,3,5.74,1.05
Jorge Lopez,CHC,32,24,0,0,0,26.2,21,6,31,8,3,1,1,2,1,4,2.03,1.09
Ethan Roberts,CHC,27,21,0,0,0,26.2,31,11,26,10,3,1,1,0,0,1,3.71,1.54
Grant Anderson,TEX,27,23,0,0,0,26.2,33,24,29,10,11,0,1,1,1,1,8.10,1.61
Nate Pearson,CHC,28,19,1,0,0,26.1,22,8,23,4,4,2,1,0,1,4,2.73,0.99
Jorge Lopez,NYM,32,28,0,0,0,26.1,25,11,19,11,3,1,2,2,0,6,3.76,1.37
Jay Jackson,MIN,37,20,0,0,0,26.1,28,22,29,9,7,1,2,0,0,1,7.52,1.41
Tanner Scott,SD,30,28,0,0,0,26.1,26,8,31,9,1,3,1,4,0,10,2.73,1.33
Gerson Garabito,TEX,29,18,2,0,0,26.1,23,14,22,12,4,0,2,0,1,0,4.78,1.33
Bryan King,HOU,28,28,0,0,0,26.1,20,7,32,10,1,1,0,0,0,0,2.39,1.14
Yunior Marte,PHI,30,23,0,0,0,26.0,34,20,23,15,5,0,0,0,1,2,6.92,1.88
Luke Little,CHC,24,30,1,0,0,26.0,15,10,28,18,1,3,1,0,0,3,3.46,1.27
Jakob Junis,MIL,32,10,1,0,0,26.0,20,7,19,5,4,4,0,1,1,0,2.42,0.96
Dany Jimenez,OAK,31,25,0,0,0,25.2,21,14,25,19,6,1,3,1,2,5,4.91,1.56
J.P. France,HOU,29,5,5,0,0,25.1,31,21,22,12,5,0,3,0,0,0,7.46,1.70
Hans Crouse,LAA,26,25,0,0,0,25.1,14,8,34,17,2,4,3,0,1,1,2.84,1.22
Lucas Erceg,KC,29,23,0,0,0,25.0,18,8,31,3,0,0,3,11,2,6,2.88,0.84
Tim Mayza,TOR,33,35,0,0,0,24.2,36,22,16,12,3,0,1,0,1,8,8.03,1.95
Brad Keller,BOS,29,11,0,0,0,24.2,31,16,19,9,4,0,2,1,0,0,5.84,1.62
Kaleb Ort,HOU,33,22,0,0,0,24.2,16,7,26,4,7,1,1,0,0,3,2.55,0.81
